Clase,TipoTraccion,Marca,Modelo,Matricula,TituloAdquisicion,Destino,CostoAdquisicion,FechaMatriculacion,Antiguedad
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X9 500 4T,1308-CZL,Desconocido,Policía Local,Desconocido,25/8/2004,17
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X-9 500,1120-DRV,Desconocido,Policía Local,Desconocido,24/10/2005,16
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X-9 500,1153-DRV,Desconocido,Policía Local,Desconocido,24/10/2005,16
Todo Terreno,Tracción mecánica (combustión),Toyota,Land Cruiser La Hdj,2312-FYD,Desconocido,Policía Local,Desconocido,10/12/2007,14
Turismo,Tracción mecánica (combustión),Ford,Fiesta 1.4 Tdci Ambiente,7440-DZD,Desconocido,Policía Local,Desconocido,8/5/2006,15
Todo Terreno,Tracción mecánica (combustión),Nissan,Patrol Gr. 3.0 Di Td Confort 5P,2591-BMF,Desconocido,Policía Local,Desconocido,13/8/2001,20
Turismo,Tracción mecánica (combustión),Seat,Altea Xl,4152-FVX,Desconocido,Policía Local,Desconocido,26/9/2007,14
Turismo,Tracción mecánica (combustión),Citroën,C4,9846-GDZ,Desconocido,Policía Local,Desconocido,29/5/2008,13
Turismo,Tracción mecánica (combustión),Opel,Corsa,6157-FLJ,Desconocido,Policía Local,Desconocido,15/2/2007,14
Motocicleta,Tracción mecánica (combustión),Suzuki,Burgman V-125,5806-DNY,Desconocido,Policía Local (SE ADJUDICA AL SERV. OBRAS),Desconocido,11/8/2005,16
Furgoneta,Tracción mecánica (combustión),Citroën,C-15 D Top,2024-BWG,Desconocido,Lacero,Desconocido,20/5/2002,19
Furgoneta,Tracción mecánica (combustión),Citroën,Berlingo 1.9 D,5405-DPF,Desconocido,Servicio Eléctrico,Desconocido,25/8/2005,16
Furgoneta,Tracción mecánica (combustión),Opel,Combo 1.7 DI VAN,9434-CJX,Desconocido,Servicio Eléctrico,Desconocido,27/6/2003,18
Furgoneta,Tracción mecánica (combustión),Citroën,Berlingo HDI 75 X,5454-GMB,Desconocido,Servicio Eléctrico,Desconocido,30/4/2009,12
Furgoneta,Tracción mecánica (combustión),Citroën,Berlingo 1.9 D COMBI,1982-DLZ,Desconocido,Servicio Eléctrico,Desconocido,23/6/2005,16
Bicicletas (48),Desconocido,,Desconocido,B,Desconocido,Sin Destino,Desconocido,Desconocida,Desconocida
Motocicleta,Tracción mecánica (combustión),Yamaha,DG20/1/1. WR250,1075-KGK,Desconocido,Policía Local,Desconocido,28/12/2017,4
Motocicleta,Tracción mecánica (combustión),Suzuki,WC80/1/2. UH125,1136-KGK,Desconocido,Policía Local,Desconocido,28/12/2017,4
Motocicleta,Tracción mecánica (combustión),Rieju,DG20/I/I. Tango 125,1227-KGK,Desconocido,Policía Local,Desconocido,28/12/2017,4
Motocicleta,Tracción mecánica (combustión),Suzuki,WC80/1/2. UH125,1337-KGK,Desconocido,Policía Local,Desconocido,28/12/2017,4
Motocicleta,Tracción mecánica (combustión),Rieju,TGE4/0/0. Tango 125,3056-KGK,Desconocido,Policía Local,Desconocido,28/12/2017,4
Motocicleta,Tracción mecánica (combustión),Yamaha,DG20/0/0. WR250,3210-KGK,Desconocido,Policía Local,Desconocido,28/12/2017,4
Camión,Tracción mecánica (combustión),Mercedes-Benz,Unimog,0536-HGM,Acuerdo JGL 9/04/2018,Bomberos y Protección Civil,Desconocido,9/4/2018,3
Furgoneta,Tracción mecánica (combustión),Opel,Combo VAN,6581-KJP,Desconocido,Instituto Municipal de Deportes (I.M.D.),Desconocido,27/3/2018,3
Turismo,Tracción mecánica (combustión),Renault,Megane Scenic,4717-HMP,Decreto nº2018006353,Agentes de Movilidad,Desconocido,19/10/2012,9
Turismo,Tracción mecánica (combustión),Citroën,C4,1680-HLP,Decreto nº2018006353,Agentes de Movilidad,Desconocido,16/7/2012,9
Camión,Tracción mecánica (combustión),Mercedes-Benz,U400,3510-FKL,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,4669.37,16/1/2007,14
Cuatriciclo,Tracción mecánica (eléctrica),Mega,Fourgon,5633-FLH,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,500,14/2/2007,14
Cuatriciclo,Tracción mecánica (eléctrica),Mega,Fourgon,5670-FLH,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,500,14/2/2007,14
Camión,Tracción mecánica (combustión),Iveco,35S12,8117-FWH,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,3894.54,8/10/2007,14
Furgoneta,Tracción mecánica (combustión),Nissan,Interstar,8565-FJF,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,3441.23,4/12/2006,15
Camión,Tracción mecánica (combustión),Iveco,ML150E22,8885-FKD,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1500,4/1/2007,14
Barredora,Tracción mecánica (combustión),Scarab,Minor,E-6883-BDV,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1500,12/1/2007,14
Barredora,Tracción mecánica (combustión),Scarab,Minor,E-6884-BDV,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1500,12/1/2007,14
Barredora,Tracción mecánica (combustión),Schmidt,Swingo 100,E-7509-BDV,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1500,16/1/2007,14
Vehículo especial,Tracción mecánica (combustión),Kramer,CMAR,E-9723-BDV,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,2496,26/1/2007,14
Camión,Tracción mecánica (combustión),Toyota,Desconocido,1226-GMT,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,4220.66,9/6/2009,12
Volquete,Tracción mecánica (combustión),Piaggio,Porter Diesel,1720-BEB,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1500,10/5/2002,19
Camión,Tracción mecánica (combustión),Renault,Kangoo 1.5,1765-GLZ,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,3558.89,28/4/2009,12
Camión,Tracción mecánica (combustión),Renault,Kangoo 1.5,1879-GLZ,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,2635.11,28/4/2009,12
Furgoneta,Tracción mecánica (combustión),Piaggio,Porter,5490-CBB,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1000,11/10/2002,19
Camión,Tracción mecánica (combustión),Piaggio,Porter,7262-BZY,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1000,8/10/2002,19
Camión,Tracción mecánica (eléctrica),Piaggio,Porter,7704-GPK,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,500,4/9/2009,12
Camión,Tracción mecánica (combustión),Mercedes-Benz,1518,8293-GNP,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1500,21/7/2009,12
Camión,Tracción mecánica (combustión),Mercedes-Benz,1318KLO,8369-GNP,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,4883.38,21/7/2009,12
Furgoneta,Tracción mecánica (combustión),Piaggio,Porter,CU-1209-J,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1000,15/1/1998,23
Furgoneta,Tracción mecánica (combustión),Piaggio,Porter,CU-1210-J,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1000,15/1/1998,23
Vehículo especial,Tracción mecánica (combustión),Marca-Desconocida,ECOLOGICA SV.1.1 BARREDORA,E-3626-BFM,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,3648,6/4/2009,12
Vehículo especial,Tracción mecánica (combustión),Schmidt,S4D1P,E-5998-BFM,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,3648,29/4/2009,12
Vehículo especial,Tracción mecánica (combustión),Ravo,340 CD,E-6118-BCB,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,1920,8/10/2002,19
Vehículo especial,Tracción mecánica (combustión),Renault,Express 1.9 D,M-7923-VF,Acuerdo JGL 22/10/2018,FCC- Concesionaria Servicio Limpieza y Recogida de residuos,2111.8,7/11/1997,24
Todo Terreno,Tracción mecánica (combustión),Ford,Kuga,9503-HBC,Acuerdo JGL 04/03/2019,Policía Local,9000,30/11/2011,10
Todo Terreno,Tracción mecánica (combustión),Ford,Kuga,8815-HHG,Acuerdo JGL 04/03/2019,Policía Local,13000,28/12/2010,11
Turismo,Tracción mecánica (combustión),Hyundai,Desconocido,6568-KJF,Decreto Nº 05/07/2019,Parque Móvil de la Alcaldía (falta dar alta en rectificación),Desconocido,Desconocida,Desconocida
